id,firstname,surname,year,category,affiliation,city,country,born_date,died_date,gender,born_city,born_country,born_country_code,died_city,died_country,died_country_code,overall_motivation,share,motivation,born_country_original,born_city_original,died_country_original,died_city_original,city_original,country_original
568,Médecins Sans Frontières,NA,1999,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""in recognition of the organisation's pioneering humanitarian work on several continents""",NA,NA,NA,NA,NA,NA
569,Sully,Prudhomme,1901,Literature,NA,NA,NA,1839-03-16,9/7/1907,male,Paris,France,FR,Châtenay,France,FR,NA,1,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect""",France,Paris,France,Châtenay,NA,NA
571,Theodor,Mommsen,1902,Literature,NA,NA,NA,1817-11-30,11/1/1903,male,Garding,Germany,DE,Charlottenburg,Germany,DE,NA,1,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>""",Schleswig (now Germany),Garding,Germany,Charlottenburg,NA,NA
572,Bjørnstjerne,Bjørnson,1903,Literature,NA,NA,NA,1832-12-08,4/26/1910,male,Kvikne,Norway,NO,Paris,France,FR,NA,1,"""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",Norway,Kvikne,France,Paris,NA,NA
573,Frédéric,Mistral,1904,Literature,NA,NA,NA,1830-09-08,3/25/1914,male,Maillane,France,FR,Maillane,France,FR,NA,2,"""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist""",France,Maillane,France,Maillane,NA,NA
574,José,Echegaray,1904,Literature,NA,NA,NA,1832-04-19,9/4/1916,male,Madrid,Spain,ES,Madrid,Spain,ES,NA,2,"""in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama""",Spain,Madrid,Spain,Madrid,NA,NA
575,Henryk,Sienkiewicz,1905,Literature,NA,NA,NA,1846-05-05,11/15/1916,male,Wola Okrzejska,Poland,PL,Vevey,Switzerland,CH,NA,1,"""because of his outstanding merits as an epic writer""",Poland,Wola Okrzejska,Switzerland,Vevey,NA,NA
576,Giosuè,Carducci,1906,Literature,NA,NA,NA,1835-07-27,2/16/1907,male,Val di Castello,Italy,IT,Bologna,Italy,IT,NA,1,"""not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces""",Tuscany (now Italy),Val di Castello,Italy,Bologna,NA,NA
577,Rudyard,Kipling,1907,Literature,NA,NA,NA,1865-12-30,1/18/1936,male,Bombay,India,IN,London,United Kingdom,GB,NA,1,"""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",British India (now India),Bombay,United Kingdom,London,NA,NA
578,Rudolf,Eucken,1908,Literature,NA,NA,NA,1846-01-05,9/14/1926,male,Aurich,Germany,DE,Jena,Germany,DE,NA,1,"""in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",East Friesland (now Germany),Aurich,Germany,Jena,NA,NA
579,Selma,Lagerlöf,1909,Literature,NA,NA,NA,1858-11-20,3/16/1940,female,Mårbacka,Sweden,SE,Mårbacka,Sweden,SE,NA,1,"""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings""",Sweden,Mårbacka,Sweden,Mårbacka,NA,NA
580,Paul,Heyse,1910,Literature,NA,NA,NA,1830-03-15,4/2/1914,male,Berlin,Germany,DE,Munich,Germany,DE,NA,1,"""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories""",Prussia (now Germany),Berlin,Germany,Munich,NA,NA
581,Maurice,Maeterlinck,1911,Literature,NA,NA,NA,1862-08-29,5/6/1949,male,Ghent,Belgium,BE,Nice,France,FR,NA,1,"""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",Belgium,Ghent,France,Nice,NA,NA
582,Gerhart,Hauptmann,1912,Literature,NA,NA,NA,1862-11-15,6/6/1946,male,Bad Salzbrunn,Germany,DE,Jagniatków,Poland,PL,NA,1,"""primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art""",Prussia (now Germany),Bad Salzbrunn,Germany (now Poland),Agnetendorf (now Jagniatków),NA,NA
583,Rabindranath,Tagore,1913,Literature,NA,NA,NA,1861-05-07,8/7/1941,male,Calcutta,India,IN,Calcutta,India,IN,NA,1,"""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West""",India,Calcutta,India,Calcutta,NA,NA
584,Romain,Rolland,1915,Literature,NA,NA,NA,1866-01-29,12/30/1944,male,Clamecy,France,FR,Vézelay,France,FR,NA,1,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",France,Clamecy,France,Vézelay,NA,NA
585,Verner,von Heidenstam,1916,Literature,NA,NA,NA,1859-07-06,5/20/1940,male,Olshammar,Sweden,SE,Övralid,Sweden,SE,NA,1,"""in recognition of his significance as the leading representative of a new era in our literature""",Sweden,Olshammar,Sweden,Övralid,NA,NA
586,Karl,Gjellerup,1917,Literature,NA,NA,NA,1857-06-02,10/11/1919,male,Roholte,Denmark,DK,Klotzsche,Germany,DE,NA,2,"""for his varied and rich poetry which is inspired by lofty ideals""",Denmark,Roholte,Germany,Klotzsche,NA,NA
587,Henrik,Pontoppidan,1917,Literature,NA,NA,NA,1857-07-24,8/21/1943,male,Fredericia,Denmark,DK,Ordrup,Denmark,DK,NA,2,"""for his authentic descriptions of present-day life in Denmark""",Denmark,Fredericia,Denmark,Ordrup,NA,NA
588,Carl,Spitteler,1919,Literature,NA,NA,NA,1845-04-24,12/29/1924,male,Liestal,Switzerland,CH,Lucerne,Switzerland,CH,NA,1,"""in special appreciation of his epic <I>Olympian Spring</I>""",Switzerland,Liestal,Switzerland,Lucerne,NA,NA
589,Knut,Hamsun,1920,Literature,NA,NA,NA,1859-08-04,2/19/1952,male,Lom,Norway,NO,Grimstad,Norway,NO,NA,1,"""for his monumental work <I>Growth of the Soil</I>""",Norway,Lom,Norway,Grimstad,NA,NA
590,Anatole,France,1921,Literature,NA,NA,NA,1844-04-16,10/12/1924,male,Paris,France,FR,Saint-Cyr-sur-Loire,France,FR,NA,1,"""in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament""",France,Paris,France,Saint-Cyr-sur-Loire,NA,NA
592,Jacinto,Benavente,1922,Literature,NA,NA,NA,1866-08-12,7/14/1954,male,Madrid,Spain,ES,Madrid,Spain,ES,NA,1,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",Spain,Madrid,Spain,Madrid,NA,NA
593,William Butler,Yeats,1923,Literature,NA,NA,NA,1865-06-13,1/28/1939,male,Dublin,Ireland,IE,Roquebrune-Cap-Martin,France,FR,NA,1,"""for his always inspired poetry which in a highly artistic form gives expression to the spirit of a whole nation""",Ireland,Dublin,France,Roquebrune-Cap-Martin,NA,NA
594,Wladyslaw,Reymont,1924,Literature,NA,NA,NA,1867-05-07,12/5/1925,male,Kobiele Wielkie,Poland,PL,Warsaw,Poland,PL,NA,1,"""for his great national epic <I>The Peasants</I>""",Russian Empire (now Poland),Kobiele Wielkie,Poland,Warsaw,NA,NA
596,George Bernard,Shaw,1925,Literature,NA,NA,NA,1856-07-26,11/2/1950,male,Dublin,Ireland,IE,Ayot St. Lawrence,United Kingdom,GB,NA,1,"""for his work which is marked by both idealism and humanity its stimulating satire often being infused with a singular poetic beauty""",Ireland,Dublin,United Kingdom,Ayot St. Lawrence,NA,NA
597,Grazia,Deledda,1926,Literature,NA,NA,NA,1871-09-27,8/15/1936,female,Nuoro Sardinia,Italy,IT,Rome,Italy,IT,NA,1,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""",Italy,Nuoro Sardinia,Italy,Rome,NA,NA
600,Henri,Bergson,1927,Literature,NA,NA,NA,1859-10-18,1/4/1941,male,Paris,France,FR,Paris,France,FR,NA,1,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented""",France,Paris,France,Paris,NA,NA
601,Sigrid,Undset,1928,Literature,NA,NA,NA,1882-05-20,6/10/1949,female,Kalundborg,Denmark,DK,Lillehammer,Norway,NO,NA,1,"""principally for her powerful descriptions of Northern life during the Middle Ages""",Denmark,Kalundborg,Norway,Lillehammer,NA,NA
602,Thomas,Mann,1929,Literature,NA,NA,NA,1875-06-06,8/12/1955,male,Lübeck,Germany,DE,Zurich,Switzerland,CH,NA,1,"""principally for his great novel <I>Buddenbrooks</I> which has won steadily increased recognition as one of the classic works of contemporary literature""",Germany,Lübeck,Switzerland,Zurich,NA,NA
603,Sinclair,Lewis,1930,Literature,NA,NA,NA,1885-02-07,1/10/1951,male,Sauk Centre MN,USA,US,Rome,Italy,IT,NA,1,"""for his vigorous and graphic art of description and his ability to create with wit and humour new types of characters""",USA,Sauk Centre MN,Italy,Rome,NA,NA
604,Erik Axel,Karlfeldt,1931,Literature,NA,NA,NA,1864-07-20,4/8/1931,male,Karlbo,Sweden,SE,Stockholm,Sweden,SE,NA,1,"""The poetry of Erik Axel Karlfeldt""",Sweden,Karlbo,Sweden,Stockholm,NA,NA
605,John,Galsworthy,1932,Literature,NA,NA,NA,1867-08-14,1/31/1933,male,Kingston Hill,United Kingdom,GB,London,United Kingdom,GB,NA,1,"""for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>""",United Kingdom,Kingston Hill,United Kingdom,London,NA,NA
606,Ivan,Bunin,1933,Literature,NA,NA,NA,1870-10-22,11/8/1953,male,Voronezh,Russia,RU,Paris,France,FR,NA,1,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing""",Russia,Voronezh,France,Paris,NA,NA
607,Luigi,Pirandello,1934,Literature,NA,NA,NA,1867-06-28,12/10/1936,male,Agrigento Sicily,Italy,IT,Rome,Italy,IT,NA,1,"""for his bold and ingenious revival of dramatic and scenic art""",Italy,Agrigento Sicily,Italy,Rome,NA,NA
608,Eugene,O'Neill,1936,Literature,NA,NA,NA,1888-10-16,11/27/1953,male,New York NY,USA,US,Boston MA,USA,US,NA,1,"""for the power honesty and deep-felt emotions of his dramatic works which embody an original concept of tragedy""",USA,New York NY,USA,Boston MA,NA,NA
609,Roger,Martin du Gard,1937,Literature,NA,NA,NA,1881-03-23,8/22/1958,male,Neuilly-sur-Seine,France,FR,Bellême,France,FR,NA,1,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>""",France,Neuilly-sur-Seine,France,Bellême,NA,NA
610,Pearl,Buck,1938,Literature,NA,NA,NA,1892-06-26,3/6/1973,female,Hillsboro WV,USA,US,Danby VT,USA,US,NA,1,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""",USA,Hillsboro WV,USA,Danby VT,NA,NA
613,Frans Eemil,Sillanpää,1939,Literature,NA,NA,NA,1888-09-16,6/3/1964,male,Hämeenkyrö,Finland,FI,Helsinki,Finland,FI,NA,1,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""",Russian Empire (now Finland),Hämeenkyrö,Finland,Helsinki,NA,NA
614,Johannes V.,Jensen,1944,Literature,NA,NA,NA,1873-01-20,11/25/1950,male,Farsø,Denmark,DK,Copenhagen,Denmark,DK,NA,1,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold freshly creative style""",Denmark,Farsø,Denmark,Copenhagen,NA,NA
615,Gabriela,Mistral,1945,Literature,NA,NA,NA,1889-04-07,1/10/1957,female,Vicuña,Chile,CL,Hempstead NY,USA,US,NA,1,"""for her lyric poetry which inspired by powerful emotions has made her name a symbol of the idealistic aspirations of the entire Latin American world""",Chile,Vicuña,USA,Hempstead NY,NA,NA
617,Hermann,Hesse,1946,Literature,NA,NA,NA,1877-07-02,8/9/1962,male,Calw,Germany,DE,Montagnola,Switzerland,CH,NA,1,"""for his inspired writings which while growing in boldness and penetration exemplify the classical humanitarian ideals and high qualities of style""",Germany,Calw,Switzerland,Montagnola,NA,NA
618,André,Gide,1947,Literature,NA,NA,NA,1869-11-22,2/19/1951,male,Paris,France,FR,Paris,France,FR,NA,1,"""for his comprehensive and artistically significant writings in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""",France,Paris,France,Paris,NA,NA
619,T.S.,Eliot,1948,Literature,NA,NA,NA,1888-09-26,1/4/1965,male,St. Louis MO,USA,US,London,United Kingdom,GB,NA,1,"""for his outstanding pioneer contribution to present-day poetry""",USA,St. Louis MO,United Kingdom,London,NA,NA
620,William,Faulkner,1949,Literature,NA,NA,NA,1897-09-25,7/6/1962,male,New Albany MS,USA,US,Byhalia MS,USA,US,NA,1,"""for his powerful and artistically unique contribution to the modern American novel""",USA,New Albany MS,USA,Byhalia MS,NA,NA
621,Bertrand,Russell,1950,Literature,NA,NA,NA,1872-05-18,2/2/1970,male,Trelleck,United Kingdom,GB,Penrhyndeudraeth,United Kingdom,GB,NA,1,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",United Kingdom,Trelleck,United Kingdom,Penrhyndeudraeth,NA,NA
622,Pär,Lagerkvist,1951,Literature,NA,NA,NA,1891-05-23,7/11/1974,male,Växjö,Sweden,SE,Stockholm,Sweden,SE,NA,1,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",Sweden,Växjö,Sweden,Stockholm,NA,NA
623,François,Mauriac,1952,Literature,NA,NA,NA,1885-10-11,9/1/1970,male,Bordeaux,France,FR,Paris,France,FR,NA,1,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",France,Bordeaux,France,Paris,NA,NA
624,Winston,Churchill,1953,Literature,NA,NA,NA,1874-11-30,1/24/1965,male,Woodstock,United Kingdom,GB,London,United Kingdom,GB,NA,1,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",United Kingdom,Woodstock,United Kingdom,London,NA,NA
625,Ernest,Hemingway,1954,Literature,NA,NA,NA,1899-07-21,7/2/1961,male,Oak Park IL,USA,US,Ketchum ID,USA,US,NA,1,"""for his mastery of the art of narrative most recently demonstrated in <I>The Old Man and the Sea</I> and for the influence that he has exerted on contemporary style""",USA,Oak Park IL,USA,Ketchum ID,NA,NA
626,Halldór,Laxness,1955,Literature,NA,NA,NA,4/23/1902,2/8/1998,male,Reykjavik,Iceland,IS,Reykjavik,Iceland,IS,NA,1,"""for his vivid epic power which has renewed the great narrative art of Iceland""",Iceland,Reykjavik,Iceland,Reykjavik,NA,NA
627,Juan Ramón,Jiménez,1956,Literature,NA,NA,NA,1881-12-24,5/29/1958,male,Moguer,Spain,ES,San Juan,Puerto Rico,PR,NA,1,"""for his lyrical poetry which in Spanish language constitutes an example of high spirit and artistical purity""",Spain,Moguer,Puerto Rico,San Juan,NA,NA
628,Albert,Camus,1957,Literature,NA,NA,NA,11/7/1913,1/4/1960,male,Mondovi,Algeria,DZ,Sens,France,FR,NA,1,"""for his important literary production which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",French Algeria (now Algeria),Mondovi,France,Sens,NA,NA
629,Boris,Pasternak,1958,Literature,NA,NA,NA,1890-02-10,5/30/1960,male,Moscow,Russia,RU,Peredelkino,Russia,RU,NA,1,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",Russia,Moscow,Russia,Peredelkino,NA,NA
630,Salvatore,Quasimodo,1959,Literature,NA,NA,NA,8/20/1901,6/14/1968,male,Modica,Italy,IT,Naples,Italy,IT,NA,1,"""for his lyrical poetry which with classical fire expresses the tragic experience of life in our own times""",Italy,Modica,Italy,Naples,NA,NA
631,Saint-John,Perse,1960,Literature,NA,NA,NA,1887-05-31,9/20/1975,male,Pointe-à-Pitre,Guadeloupe Island,GP,Presqu'île-de-Giens,France,FR,NA,1,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",Guadeloupe Island,Pointe-à-Pitre,France,Presqu'île-de-Giens,NA,NA
633,Ivo,Andric,1961,Literature,NA,NA,NA,1892-10-10,3/13/1975,male,Dolac,Bosnia and Herzegovina,BA,Belgrade,Serbia,RS,NA,1,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",Bosnia (now Bosnia and Herzegovina),Dolac,Yugoslavia (now Serbia),Belgrade,NA,NA
634,John,Steinbeck,1962,Literature,NA,NA,NA,2/27/1902,12/20/1968,male,Salinas CA,USA,US,New York NY,USA,US,NA,1,"""for his realistic and imaginative writings combining as they do sympathetic humour and keen social perception""",USA,Salinas CA,USA,New York NY,NA,NA
635,Giorgos,Seferis,1963,Literature,NA,NA,NA,3/13/1900,9/20/1971,male,Izmir,Turkey,TR,Athens,Greece,GR,NA,1,"""for his eminent lyrical writing inspired by a deep feeling for the Hellenic world of culture""",Ottoman Empire (now Turkey),Smyrna (now Izmir),Greece,Athens,NA,NA
637,Jean-Paul,Sartre,1964,Literature,NA,NA,NA,6/21/1905,4/15/1980,male,Paris,France,FR,Paris,France,FR,NA,1,"""for his work which rich in ideas and filled with the spirit of freedom and the quest for truth has exerted a far-reaching influence on our age""",France,Paris,France,Paris,NA,NA
638,Mikhail,Sholokhov,1965,Literature,NA,NA,NA,5/24/1905,2/21/1984,male,Veshenskaya,Russia,RU,Veshenskaya,Russia,RU,NA,1,"""for the artistic power and integrity with which in his epic of the Don he has given expression to a historic phase in the life of the Russian people""",Russia,Veshenskaya,USSR (now Russia),Veshenskaya,NA,NA
639,Shmuel,Agnon,1966,Literature,NA,NA,NA,1888-07-17,2/17/1970,male,Buchach,Ukraine,UA,Rehovot,Israel,IL,NA,2,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",Austria-Hungary (now Ukraine),Buczacz (now Buchach),Israel,Rehovot,NA,NA
640,Nelly,Sachs,1966,Literature,NA,NA,NA,1891-12-10,5/12/1970,female,Berlin,Germany,DE,Stockholm,Sweden,SE,NA,2,"""for her outstanding lyrical and dramatic writing which interprets Israel's destiny with touching strength """,Germany,Berlin,Sweden,Stockholm,NA,NA
641,Miguel Angel,Asturias,1967,Literature,NA,NA,NA,1899-10-19,6/9/1974,male,Guatemala City,Guatemala,GT,Madrid,Spain,ES,NA,1,"""for his vivid literary achievement deep-rooted in the national traits and traditions of Indian peoples of Latin America""",Guatemala,Guatemala City,Spain,Madrid,NA,NA
642,Yasunari,Kawabata,1968,Literature,NA,NA,NA,1899-06-11,4/16/1972,male,Osaka,Japan,JP,Zushi,Japan,JP,NA,1,"""for his narrative mastery which with great sensibility expresses the essence of the Japanese mind""",Japan,Osaka,Japan,Zushi,NA,NA
643,Samuel,Beckett,1969,Literature,NA,NA,NA,4/13/1906,12/22/1989,male,Dublin,Ireland,IE,Paris,France,FR,NA,1,"""for his writing which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""",Ireland,Dublin,France,Paris,NA,NA
644,Alexandr,Solzhenitsyn,1970,Literature,NA,NA,NA,12/11/1918,8/3/2008,male,Kislovodsk,Russia,RU,Troitse-Lykovo,Russia,RU,NA,1,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""",Russia,Kislovodsk,Russia,Troitse-Lykovo,NA,NA
645,Pablo,Neruda,1971,Literature,NA,NA,NA,7/12/1904,9/23/1973,male,Parral,Chile,CL,Santiago,Chile,CL,NA,1,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams""",Chile,Parral,Chile,Santiago,NA,NA
647,Heinrich,Böll,1972,Literature,NA,NA,NA,12/21/1917,7/16/1985,male,Cologne,Germany,DE,Bornheim-Merten,Germany,DE,NA,1,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature""",Germany,Cologne,West Germany (now Germany),Bornheim-Merten,NA,NA
648,Patrick,White,1973,Literature,NA,NA,NA,5/28/1912,9/30/1990,male,London,United Kingdom,GB,Sydney,Australia,AU,NA,1,"""for an epic and psychological narrative art which has introduced a new continent into literature""",United Kingdom,London,Australia,Sydney,NA,NA
649,Eyvind,Johnson,1974,Literature,NA,NA,NA,7/29/1900,8/25/1976,male,Svartbjörnsbyn,Sweden,SE,Stockholm,Sweden,SE,NA,2,"""for a narrative art far-seeing in lands and ages in the service of freedom""",Sweden,Svartbjörnsbyn,Sweden,Stockholm,NA,NA
650,Harry,Martinson,1974,Literature,NA,NA,NA,5/6/1904,2/11/1978,male,Jämshög,Sweden,SE,Stockholm,Sweden,SE,NA,2,"""for writings that catch the dewdrop and reflect the cosmos""",Sweden,Jämshög,Sweden,Stockholm,NA,NA
651,Eugenio,Montale,1975,Literature,NA,NA,NA,1896-10-12,9/12/1981,male,Genoa,Italy,IT,Milan,Italy,IT,NA,1,"""for his distinctive poetry which with great artistic sensitivity has interpreted human values under the sign of an outlook on life with no illusions""",Italy,Genoa,Italy,Milan,NA,NA
652,Saul,Bellow,1976,Literature,NA,NA,NA,6/10/1915,4/5/2005,male,Montreal,Canada,CA,Brookline MA,USA,US,NA,1,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work""",Canada,Montreal,USA,Brookline MA,NA,NA
653,Vicente,Aleixandre,1977,Literature,NA,NA,NA,1898-04-26,12/14/1984,male,Sevilla,Spain,ES,Madrid,Spain,ES,NA,1,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society at the same time representing the great renewal of the traditions of Spanish poetry between the wars""",Spain,Sevilla,Spain,Madrid,NA,NA
654,Isaac Bashevis,Singer,1978,Literature,NA,NA,NA,7/14/1904,7/24/1991,male,Leoncin,Poland,PL,Surfside FL,USA,US,NA,1,"""for his impassioned narrative art which with roots in a Polish-Jewish cultural tradition brings universal human conditions to life""",Russian Empire (now Poland),Leoncin,USA,Surfside FL,NA,NA
655,Odysseus,Elytis,1979,Literature,NA,NA,NA,11/2/1911,3/18/1996,male,Iráklion,Greece,GR,Athens,Greece,GR,NA,1,"""for his poetry which against the background of Greek tradition depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",Crete (now Greece),Iráklion,Greece,Athens,NA,NA
657,Czeslaw,Milosz,1980,Literature,NA,NA,NA,6/30/1911,8/14/2004,male,Śeteniai,Lithuania,LT,Kraków,Poland,PL,NA,1,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",Russian Empire (now Lithuania),Śeteniai,Poland,Kraków,NA,NA
658,Elias,Canetti,1981,Literature,NA,NA,NA,7/25/1905,8/14/1994,male,Ruse,Bulgaria,BG,Zurich,Switzerland,CH,NA,1,"""for writings marked by a broad outlook a wealth of ideas and artistic power""",Bulgaria,Ruse,Switzerland,Zurich,NA,NA
659,Gabriel,García Márquez,1982,Literature,NA,NA,NA,3/6/1927,4/17/2014,male,Aracataca,Colombia,CO,Mexico City,Mexico,MX,NA,1,"""for his novels and short stories in which the fantastic and the realistic are combined in a richly composed world of imagination reflecting a continent's life and conflicts""",Colombia,Aracataca,Mexico,Mexico City,NA,NA
660,William,Golding,1983,Literature,NA,NA,NA,9/19/1911,6/19/1993,male,St. Columb Minor,United Kingdom,GB,Perranarworthal,United Kingdom,GB,NA,1,"""for his novels which with the perspicuity of realistic narrative art and the diversity and universality of myth illuminate the human condition in the world of today""",United Kingdom,St. Columb Minor,United Kingdom,Perranarworthal,NA,NA
661,Jaroslav,Seifert,1984,Literature,NA,NA,NA,9/23/1901,1/10/1986,male,Prague,Czech Republic,CZ,Prague,Czech Republic,CZ,NA,1,"""for his poetry which endowed with freshness sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",Austria-Hungary (now Czech Republic),Prague,Czechoslovakia (now Czech Republic),Prague,NA,NA
662,Claude,Simon,1985,Literature,NA,NA,NA,10/10/1913,7/6/2005,male,Antananarivo,Madagascar,MG,Paris,France,FR,NA,1,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",Madagascar,Tananarive (now Antananarivo),France,Paris,NA,NA
663,Wole,Soyinka,1986,Literature,NA,NA,NA,7/13/1934,NA,male,Abeokuta,Nigeria,NG,NA,NA,NA,NA,1,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",Nigeria,Abeokuta,NA,NA,NA,NA
664,Joseph,Brodsky,1987,Literature,NA,NA,NA,5/24/1940,1/28/1996,male,St. Petersburg,Russia,RU,New York NY,USA,US,NA,1,"""for an all-embracing authorship imbued with clarity of thought and poetic intensity""",USSR (now Russia),Leningrad (now St. Petersburg),USA,New York NY,NA,NA
665,Naguib,Mahfouz,1988,Literature,NA,NA,NA,12/11/1911,8/30/2006,male,Cairo,Egypt,EG,Cairo,Egypt,EG,NA,1,"""who through works rich in nuance - now clear-sightedly realistic now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",Egypt,Cairo,Egypt,Cairo,NA,NA
666,Camilo José,Cela,1989,Literature,NA,NA,NA,5/11/1916,1/17/2002,male,Iria Flavia,Spain,ES,Madrid,Spain,ES,NA,1,"""for a rich and intensive prose which with restrained compassion forms a challenging vision of man's vulnerability""",Spain,Iria Flavia,Spain,Madrid,NA,NA
667,Octavio,Paz,1990,Literature,NA,NA,NA,3/31/1914,4/19/1998,male,Mexico City,Mexico,MX,Mexico City,Mexico,MX,NA,1,"""for impassioned writing with wide horizons characterized by sensuous intelligence and humanistic integrity""",Mexico,Mexico City,Mexico,Mexico City,NA,NA
668,Nadine,Gordimer,1991,Literature,NA,NA,NA,11/20/1923,7/13/2014,female,Springs,South Africa,ZA,Johannesburg,South Africa,ZA,NA,1,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",South Africa,Springs,South Africa,Johannesburg,NA,NA
669,Derek,Walcott,1992,Literature,NA,NA,NA,1/23/1930,3/17/2017,male,Castries,Saint Lucia,LC,Gros-Islet,Saint Lucia,LC,NA,1,"""for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment""",Saint Lucia,Castries,Saint Lucia,Gros-Islet,NA,NA
670,Toni,Morrison,1993,Literature,NA,NA,NA,2/18/1931,8/5/2019,female,Lorain OH,USA,US,New York NY,USA,US,NA,1,"""who in novels characterized by visionary force and poetic import gives life to an essential aspect of American reality""",USA,Lorain OH,USA,New York NY,NA,NA
671,Kenzaburo,Oe,1994,Literature,NA,NA,NA,1/31/1935,NA,male,Uchiko,Japan,JP,NA,NA,NA,NA,1,"""who with poetic force creates an imagined world where life and myth condense to form a disconcerting picture of the human predicament today""",Japan,Uchiko,NA,NA,NA,NA
672,Seamus,Heaney,1995,Literature,NA,NA,NA,4/13/1939,8/30/2013,male,Casteldàwson,Northern Ireland,GB,Dublin,Ireland,IE,NA,1,"""for works of lyrical beauty and ethical depth which exalt everyday miracles and the living past""",Northern Ireland,Casteldàwson,Ireland,Dublin,NA,NA
673,Wislawa,Szymborska,1996,Literature,NA,NA,NA,7/2/1923,2/1/2012,female,Kórnik,Poland,PL,Kraków,Poland,PL,NA,1,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""",Poland,Bnin (now Kórnik),Poland,Kraków,NA,NA
674,Dario,Fo,1997,Literature,NA,NA,NA,3/24/1926,10/13/2016,male,Leggiuno-Sangiano,Italy,IT,Milan,Italy,IT,NA,1,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden""",Italy,Leggiuno-Sangiano,Italy,Milan,NA,NA
